period,obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,A_obs,W_obs,E_obs,N_obs,A_unc,W_unc,E_unc,N_unc
41,219,1.3424657534246576,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,264.322,29.432000000000002,52.638000000000005,219.60800000000003,22.64,5.66,11.32,22.64
41,220,2.0136986301369864,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,227.556,36.636,46.44,205.368,20.64,5.16,10.32,20.64
41,221,2.336986301369863,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,189.478,23.797,41.308,194.417,17.96,4.49,8.98,17.96
41,222,3.010958904109589,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,164.428,21.978,46.80500000000001,173.78900000000002,16.28,4.07,8.14,16.28
41,223,3.336986301369863,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,163.43800000000002,14.467,36.754000000000005,176.341,15.64,3.91,7.82,15.64
42,225,0.11506849315068493,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,496.041,69.96600000000001,83.421,247.572,35.88,8.97,17.94,35.88
42,226,0.7424657534246575,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,430.346,43.778,95.81599999999999,256.06,33.04,8.26,16.52,33.04
42,227,1.010958904109589,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,333.704,38.178000000000004,84.84,250.27800000000002,28.28,7.07,14.14,28.28
42,228,1.0876712328767124,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,329.28000000000003,32.256,59.80800000000001,250.656,26.880000000000003,6.720000000000001,13.440000000000001,26.880000000000003
43,230,0.9726027397260274,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,342.964,40.096,70.16799999999999,262.772,28.64,7.16,14.32,28.64
43,231,1.643835616438356,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,294.952,39.928000000000004,59.248000000000005,249.872,25.76,6.44,12.88,25.76
44,233,0.2684931506849315,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,453.926,40.388,94.824,288.862,35.12,8.78,17.56,35.12
44,234,0.4575342465753425,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,394.696,66.744,59.328,303.232,32.96,8.24,16.48,32.96
44,235,1.0164383561643835,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,356.36,41.525,76.255,280.86,30.2,7.55,15.1,30.2
44,236,1.2657534246575342,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,261.12399999999997,39.706999999999994,72.011,300.15799999999996,26.919999999999998,6.7299999999999995,13.459999999999999,26.919999999999998
44,237,1.3397260273972602,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,297.709,39.866,60.442,244.983,25.72,6.43,12.86,25.72
44,238,2.0136986301369864,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,267.014,33.230999999999995,57.13399999999999,225.62099999999998,23.32,5.83,11.66,23.32
44,239,2.33972602739726,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,235.87300000000002,22.489,47.07,217.568,20.92,5.23,10.46,20.92
45,243,0.07671232876712329,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,494.32599999999996,74.10199999999999,98.49,271.082,37.519999999999996,9.379999999999999,18.759999999999998,37.519999999999996
45,244,0.18904109589041096,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,452.75100000000003,57.152,100.016,283.081,35.72,8.93,17.86,35.72
45,245,0.7479452054794521,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,410.33299999999997,45.770999999999994,85.118,261.77799999999996,32.12,8.03,16.06,32.12
45,246,0.9972602739726028,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,347.864,49.379,70.752,269.005,29.48,7.37,14.74,29.48
45,247,1.0712328767123287,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,327.699,37.785000000000004,66.63900000000001,254.877,27.480000000000004,6.870000000000001,13.740000000000002,27.480000000000004
45,248,1.7452054794520548,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,298.92,32.436,58.512,246.132,25.44,6.36,12.72,25.44
45,249,2.0712328767123287,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,258.912,24.551999999999996,50.21999999999999,224.31599999999997,22.319999999999997,5.579999999999999,11.159999999999998,22.319999999999997
46,253,0.2493150684931507,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,447.378,47.41,97.40599999999999,269.806,34.48,8.62,17.24,34.48
46,254,0.3232876712328767,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,432.141,47.544000000000004,92.54100000000001,276.774,33.96,8.49,16.98,33.96
46,255,0.9972602739726028,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,380.52500000000003,39.525,86.8,268.15000000000003,31,7.75,15.5,31
46,256,1.3232876712328767,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,481,178,112,229,0,0,0,0,0,0,0,306.54,34.06,74.015,240.38500000000002,26.200000000000003,6.550000000000001,13.100000000000001,26.200000000000003
47,260,0.07397260273972603,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,491.898,119.62500000000001,97.614,247.86300000000003,38.28,9.57,19.14,38.28
47,261,0.7479452054794521,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,455.924,50.563,88.271,262.242,34.28,8.57,17.14,34.28
47,262,1.073972602739726,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,370.016,36.554,79.822,259.608,29.84,7.46,14.92,29.84
51,281,0.15342465753424658,-6.8,-6.3,-2.5,2,7.7,12.3,14.2,13.2,8.9,4.4,-1.2,-5.1,646,481,178,112,229,0,0,0,0,0,0,0,453.76800000000003,66.6,96.792,270.84000000000003,35.52,8.88,17.76,35.52
51,282,0.4,-6.8,-6.3,-2.5,2,7.7,12.3,14.2,13.2,8.9,4.4,-1.2,-5.1,646,481,178,112,229,0,0,0,0,0,0,0,405.6,54.400000000000006,74.4,265.6,32,8,16,32
51,283,1.0328767123287672,-6.8,-6.3,-2.5,2,7.7,12.3,14.2,13.2,8.9,4.4,-1.2,-5.1,646,481,178,112,229,0,0,0,0,0,0,0,315.84000000000003,54.432,76.608,225.12,26.880000000000003,6.720000000000001,13.440000000000001,26.880000000000003
51,284,1.1534246575342466,-6.8,-6.3,-2.5,2,7.7,12.3,14.2,13.2,8.9,4.4,-1.2,-5.1,646,481,178,112,229,0,0,0,0,0,0,0,295.16,42.704,69.08,221.056,25.12,6.28,12.56,25.12
51,285,1.3205479452054794,-6.8,-6.3,-2.5,2,7.7,12.3,14.2,13.2,8.9,4.4,-1.2,-5.1,646,481,178,112,229,0,0,0,0,0,0,0,250.86,30.525000000000002,59.385000000000005,214.23000000000002,22.200000000000003,5.550000000000001,11.100000000000001,22.200000000000003
