InFileType,in_Wth,X.Do.not.change.this.input.file.type.name.,X,X.1,X.2
VersionNum,1.01,#Do not change this version number. There should be NO comma wthin any string (no comma in any cell if you open this file with a spreadsheet software),,,
#comments,,,,,
Year,DOY,Tmax,Tmin,Precip,NPP
2009,212,20.61,14.19,0,3.1368572288899
2009,213,26.93,11.88,0,3.12121208819123
2009,214,29.25,13.45,1.89,3.10440296838461
2009,215,20.52,12.67,1.2,3.08644954642107
2009,216,15.78,13.04,6.93,3.06737275838545
2009,217,19.1,12.82,0,3.04719475882474
2009,218,23.43,13.95,0,3.02593887789101
2009,219,24.23,11.82,0,3.00362957641476
2009,220,24.4,11.96,0.56,2.9802923990299
2009,221,20.43,13.61,0.59,2.95595392547585
2009,222,22.92,12.46,4.2,2.93064172020678
2009,223,21.26,13.65,0,2.90438428044135
2009,224,21.82,13.93,0,2.87721098278991
2009,225,19.13,12.4,1.52,2.84915202859891
2009,226,21.44,14.02,0,2.8202383881543
2009,227,26.01,11.34,0,2.79050174388806
2009,228,27.78,11.28,0,2.75997443273308
2009,229,27.78,12.89,0,2.7286893877725
2009,230,25.25,14.04,0,2.69668007933041
2009,231,26.12,13.22,0,2.66398045565035
2009,232,27.5,11.17,0,2.63062488330797
2009,233,29.01,13.99,0.34,2.59664808750289
2009,234,21.82,14.35,2.51,2.56208509237379
2009,235,19.36,12.39,0,2.52697116147852
2009,236,24.39,7.57,0,2.49134173857917
2009,237,26.82,10.01,0,2.45523238886893
2009,238,25.52,12.68,0.66,2.41867874077494
2009,239,26.28,12.68,0,2.38171642846738
2009,240,26.75,12.81,4.26,2.3443810352018
2009,241,18.41,11.01,0.73,2.30670803761682
2009,242,20.29,7.24,0,2.26873275110558
2009,243,22.89,7.08,0,2.23049027637384
2009,244,26.62,8.55,0,2.19201544729297
2009,245,21.71,11.35,0,2.15334278015066
2009,246,24.38,12.86,0.74,2.11450642439623
2009,247,14.95,12.18,3.7,2.07554011497233
2009,248,15.44,8.15,0,2.03647712631791
2009,249,15.23,6.04,0,1.9973502281221
2009,250,19.98,5.61,0,1.95819164290158
2009,251,20.02,6.57,0,1.91903300546819
2009,252,20.07,6.18,0,1.87990532434654
2009,253,19.74,9.74,0.58,1.84083894519524
2009,254,15.45,12.09,4.55,1.8018635162784
2009,255,14,12.32,0,1.76300795602778
2009,256,14.05,11.4,0.93,1.72430042272892
2009,257,12.34,8.82,0.15,1.68576828635843
2009,258,21.1,9.36,0,1.64743810259286
2009,259,21.4,7.45,0.42,1.60933558900302
2009,260,17.47,13.09,0.91,1.57148560344155
2009,261,19.94,13.86,0,1.53391212462506
2009,262,22.58,9.01,0,1.49663823490612
2009,263,20.97,8.96,0,1.45968610522453
2009,264,21.35,10.73,0,1.42307698222129
2009,265,21.96,10.85,0,1.38683117749345
2009,266,22.36,10.08,0,1.35096805896233
2009,267,20.66,10.42,0,1.31550604432258
2009,268,15.07,10.25,0,1.28046259653459
