obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,c_obs,c_unc
1031,27,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,8.4499999999999993,785.1803799842749,250
849,18,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,8,934.2663829488145,250
1024,27,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,16.55,607.79517092976,250
33,3,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,30.95,975.6314126675704,250
506,5,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,6.35,640.3797112628761,250
681,10,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,13.2,803.5626188488063,250
304,25,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,5.9,888.6438260488238,250
1170,6,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,7.6,838.9859882118656,250
984,23,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,8.5500000000000007,849.7952511721682,250
337,33,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,12.8,109.38761554535974,250
